Strip,Time (s),Resistance (Ohms)
1,2.056,9002
2,0.0,0
3,0.0,0
4,0.0,0
5,0.377,9003
6,1.797,9003
7,0.0,0
8,0.0,0
1,4.143,9001
2,0.0,0
3,0.0,0
4,0.0,0
5,2.464,9002
6,3.885,9002
7,0.0,0
8,0.0,0
1,6.231,9005
2,0.0,0
3,0.0,0
4,0.0,0
5,4.552,9005
6,5.972,9004
7,0.0,0
8,0.0,0
1,8.318,9005
2,0.0,0
3,0.0,0
4,0.0,0
5,6.639,9002
6,8.06,9003
7,0.0,0
8,0.0,0
1,10.406,9003
2,0.0,0
3,0.0,0
4,0.0,0
5,8.727,9005
6,10.147,9002
7,0.0,0
8,0.0,0
1,12.493,9006
2,0.0,0
3,0.0,0
4,0.0,0
5,10.814,9002
6,12.235,9003
7,0.0,0
8,0.0,0
1,14.581,9003
2,0.0,0
3,0.0,0
4,0.0,0
5,12.902,9005
6,14.322,9002
7,0.0,0
8,0.0,0
1,16.668,9002
2,0.0,0
3,0.0,0
4,0.0,0
5,14.989,9002
6,16.41,9003
7,0.0,0
8,0.0,0
1,18.756,9001
2,0.0,0
3,0.0,0
4,0.0,0
5,17.077,9004
6,18.497,9002
7,0.0,0
8,0.0,0
1,20.843,9001
2,0.0,0
3,0.0,0
4,0.0,0
5,19.164,9002
6,20.585,9002
7,0.0,0
8,0.0,0
1,22.931,9001
2,0.0,0
3,0.0,0
4,0.0,0
5,21.252,9003
6,22.672,9001
7,0.0,0
8,0.0,0
1,25.018,9005
2,0.0,0
3,0.0,0
4,0.0,0
5,23.339,9001
6,24.76,9006
7,0.0,0
8,0.0,0
1,27.106,9004
2,0.0,0
3,0.0,0
4,0.0,0
5,25.427,9003
6,26.847,9004
7,0.0,0
8,0.0,0
1,29.193,9000
2,0.0,0
3,0.0,0
4,0.0,0
5,27.514,9000
6,28.935,9002
7,0.0,0
8,0.0,0
1,31.281,9000
2,0.0,0
3,0.0,0
4,0.0,0
5,29.602,9001
6,31.022,9001
7,0.0,0
8,0.0,0
1,33.368,9002
2,0.0,0
3,0.0,0
4,0.0,0
5,31.689,9000
6,33.11,9000
7,0.0,0
8,0.0,0
1,35.456,8999
2,0.0,0
3,0.0,0
4,0.0,0
5,33.777,9001
6,35.198,9001
7,0.0,0
8,0.0,0
1,37.543,9001
2,0.0,0
3,0.0,0
4,0.0,0
5,35.864,9003
6,37.285,9002
7,0.0,0
8,0.0,0
1,39.631,9001
2,0.0,0
3,0.0,0
4,0.0,0
5,37.952,9000
6,39.373,9001
7,0.0,0
8,0.0,0
1,41.718,9002
2,0.0,0
3,0.0,0
4,0.0,0
5,40.039,9004
6,41.46,9002
7,0.0,0
8,0.0,0
1,43.806,9001
2,0.0,0
3,0.0,0
4,0.0,0
5,42.127,9001
6,43.548,9002
7,0.0,0
8,0.0,0
1,45.893,9006
2,0.0,0
3,0.0,0
4,0.0,0
5,44.214,9002
6,45.635,9004
7,0.0,0
8,0.0,0
1,47.981,9001
2,0.0,0
3,0.0,0
4,0.0,0
5,46.302,9000
6,47.723,9002
7,0.0,0
8,0.0,0
1,50.068,9002
2,0.0,0
3,0.0,0
4,0.0,0
5,48.389,9003
6,49.81,9005
7,0.0,0
8,0.0,0
1,52.156,9003
2,0.0,0
3,0.0,0
4,0.0,0
5,50.477,9001
6,51.898,9004
7,0.0,0
8,0.0,0
1,54.243,9002
2,0.0,0
3,0.0,0
4,0.0,0
5,52.564,9003
6,53.985,9004
7,0.0,0
8,0.0,0
1,56.331,9002
2,0.0,0
3,0.0,0
4,0.0,0
5,54.652,9001
6,56.073,9005
7,0.0,0
8,0.0,0
1,58.418,8998
2,0.0,0
3,0.0,0
4,0.0,0
5,56.739,9001
6,58.16,9003
7,0.0,0
8,0.0,0
1,60.506,9006
2,0.0,0
3,0.0,0
4,0.0,0
5,58.827,9005
6,60.248,9001
7,0.0,0
8,0.0,0
1,62.593,9002
2,0.0,0
3,0.0,0
4,0.0,0
5,60.914,8999
6,62.335,9000
7,0.0,0
8,0.0,0
1,64.681,9001
2,0.0,0
3,0.0,0
4,0.0,0
5,63.002,9002
6,64.423,9003
7,0.0,0
8,0.0,0
1,66.769,9001
2,0.0,0
3,0.0,0
4,0.0,0
5,65.089,8998
6,66.51,9000
7,0.0,0
8,0.0,0
1,68.856,8999
2,0.0,0
3,0.0,0
4,0.0,0
5,67.177,9001
6,68.598,9001
7,0.0,0
8,0.0,0
1,70.944,9005
2,0.0,0
3,0.0,0
4,0.0,0
5,69.264,9005
6,70.685,9003
7,0.0,0
8,0.0,0
